label group natoms total_hops total_time_ps D_A2_per_ps D_m2_per_s D_cm2_per_s
T1000K_C1 all 512 1201 1999.9000 1.079566e-03 1.079566e-11 1.079566e-07
T1000K_C1 type1 511 1201 1999.9000 1.081679e-03 1.081679e-11 1.081679e-07
T1000K_C1 type2 1 0 1999.9000 0.000000e+00 0.000000e+00 0.000000e+00
T1000K_C10 all 512 1136 1999.9000 1.021138e-03 1.021138e-11 1.021138e-07
T1000K_C10 type1 502 1136 1999.9000 1.041480e-03 1.041480e-11 1.041480e-07
T1000K_C10 type2 10 0 1999.9000 0.000000e+00 0.000000e+00 0.000000e+00
T1000K_C20 all 512 1299 1999.9000 1.167657e-03 1.167657e-11 1.167657e-07
T1000K_C20 type1 492 1294 1999.9000 1.210446e-03 1.210446e-11 1.210446e-07
T1000K_C20 type2 20 5 1999.9000 1.150578e-04 1.150578e-12 1.150578e-08
T1000K_C5 all 512 1072 1999.9000 9.636094e-04 9.636094e-12 9.636094e-08
T1000K_C5 type1 507 1070 1999.9000 9.712969e-04 9.712969e-12 9.712969e-08
T1000K_C5 type2 5 2 1999.9000 1.840925e-04 1.840925e-12 1.840925e-08
T1100K_C1 all 512 3274 1999.9000 2.942964e-03 2.942964e-11 2.942964e-07
T1100K_C1 type1 511 3273 1999.9000 2.947822e-03 2.947822e-11 2.947822e-07
T1100K_C1 type2 1 1 1999.9000 4.602313e-04 4.602313e-12 4.602313e-08
T1100K_C10 all 512 3099 1999.9000 2.785658e-03 2.785658e-11 2.785658e-07
T1100K_C10 type1 502 3090 1999.9000 2.832898e-03 2.832898e-11 2.832898e-07
T1100K_C10 type2 10 9 1999.9000 4.142082e-04 4.142082e-12 4.142082e-08
T1100K_C20 all 512 3171 1999.9000 2.850378e-03 2.850378e-11 2.850378e-07
T1100K_C20 type1 492 3159 1999.9000 2.955022e-03 2.955022e-11 2.955022e-07
T1100K_C20 type2 20 12 1999.9000 2.761388e-04 2.761388e-12 2.761388e-08
T1100K_C5 all 512 3393 1999.9000 3.049932e-03 3.049932e-11 3.049932e-07
T1100K_C5 type1 507 3387 1999.9000 3.074563e-03 3.074563e-11 3.074563e-07
T1100K_C5 type2 5 6 1999.9000 5.522776e-04 5.522776e-12 5.522776e-08
T1200K_C1 all 512 7304 1999.9000 6.565488e-03 6.565488e-11 6.565488e-07
T1200K_C1 type1 511 7302 1999.9000 6.576535e-03 6.576535e-11 6.576535e-07
T1200K_C1 type2 1 2 1999.9000 9.204627e-04 9.204627e-12 9.204627e-08
T1200K_C10 all 512 7251 1999.9000 6.517847e-03 6.517847e-11 6.517847e-07
T1200K_C10 type1 502 7225 1999.9000 6.623848e-03 6.623848e-11 6.623848e-07
T1200K_C10 type2 10 26 1999.9000 1.196601e-03 1.196601e-11 1.196601e-07
T1200K_C20 all 512 6928 1999.9000 6.227505e-03 6.227505e-11 6.227505e-07
T1200K_C20 type1 492 6881 1999.9000 6.436691e-03 6.436691e-11 6.436691e-07
T1200K_C20 type2 20 47 1999.9000 1.081544e-03 1.081544e-11 1.081544e-07
T1200K_C5 all 512 6903 1999.9000 6.205033e-03 6.205033e-11 6.205033e-07
T1200K_C5 type1 507 6888 1999.9000 6.252610e-03 6.252610e-11 6.252610e-07
T1200K_C5 type2 5 15 1999.9000 1.380694e-03 1.380694e-11 1.380694e-07
T700K_C1 all 512 10 1999.9000 8.988893e-06 8.988893e-14 8.988893e-10
T700K_C1 type1 511 10 1999.9000 9.006484e-06 9.006484e-14 9.006484e-10
T700K_C1 type2 1 0 1999.9000 0.000000e+00 0.000000e+00 0.000000e+00
T700K_C10 all 512 9 1999.9000 8.090004e-06 8.090004e-14 8.090004e-10
T700K_C10 type1 502 9 1999.9000 8.251160e-06 8.251160e-14 8.251160e-10
T700K_C10 type2 10 0 1999.9000 0.000000e+00 0.000000e+00 0.000000e+00
T700K_C20 all 512 8 1999.9000 7.191115e-06 7.191115e-14 7.191115e-10
T700K_C20 type1 492 8 1999.9000 7.483437e-06 7.483437e-14 7.483437e-10
T700K_C20 type2 20 0 1999.9000 0.000000e+00 0.000000e+00 0.000000e+00
T700K_C5 all 512 9 1999.9000 8.090004e-06 8.090004e-14 8.090004e-10
T700K_C5 type1 507 9 1999.9000 8.169787e-06 8.169787e-14 8.169787e-10
T700K_C5 type2 5 0 1999.9000 0.000000e+00 0.000000e+00 0.000000e+00
T800K_C1 all 512 65 1999.9000 5.842781e-05 5.842781e-13 5.842781e-09
T800K_C1 type1 511 65 1999.9000 5.854215e-05 5.854215e-13 5.854215e-09
T800K_C1 type2 1 0 1999.9000 0.000000e+00 0.000000e+00 0.000000e+00
T800K_C10 all 512 55 1999.9000 4.943891e-05 4.943891e-13 4.943891e-09
T800K_C10 type1 502 55 1999.9000 5.042375e-05 5.042375e-13 5.042375e-09
T800K_C10 type2 10 0 1999.9000 0.000000e+00 0.000000e+00 0.000000e+00
T800K_C20 all 512 64 1999.9000 5.752892e-05 5.752892e-13 5.752892e-09
T800K_C20 type1 492 63 1999.9000 5.893206e-05 5.893206e-13 5.893206e-09
T800K_C20 type2 20 1 1999.9000 2.301157e-05 2.301157e-13 2.301157e-09
T800K_C5 all 512 80 1999.9000 7.191115e-05 7.191115e-13 7.191115e-09
T800K_C5 type1 507 80 1999.9000 7.262033e-05 7.262033e-13 7.262033e-09
T800K_C5 type2 5 0 1999.9000 0.000000e+00 0.000000e+00 0.000000e+00
T900K_C1 all 512 312 1999.9000 2.804535e-04 2.804535e-12 2.804535e-08
T900K_C1 type1 511 312 1999.9000 2.810023e-04 2.810023e-12 2.810023e-08
T900K_C1 type2 1 0 1999.9000 0.000000e+00 0.000000e+00 0.000000e+00
T900K_C10 all 512 300 1999.9000 2.696668e-04 2.696668e-12 2.696668e-08
T900K_C10 type1 502 299 1999.9000 2.741219e-04 2.741219e-12 2.741219e-08
T900K_C10 type2 10 1 1999.9000 4.602313e-05 4.602313e-13 4.602313e-09
T900K_C20 all 512 336 1999.9000 3.020268e-04 3.020268e-12 3.020268e-08
T900K_C20 type1 492 336 1999.9000 3.143043e-04 3.143043e-12 3.143043e-08
T900K_C20 type2 20 0 1999.9000 0.000000e+00 0.000000e+00 0.000000e+00
T900K_C5 all 512 326 1999.9000 2.930379e-04 2.930379e-12 2.930379e-08
T900K_C5 type1 507 326 1999.9000 2.959278e-04 2.959278e-12 2.959278e-08
T900K_C5 type2 5 0 1999.9000 0.000000e+00 0.000000e+00 0.000000e+00
